Id,SalePrice
1461,116408.26161213988
1462,125987.29297831003
1463,171859.02371028555
1464,198984.39058186207
1465,194323.43932854757
1466,183939.91500866297
1467,199214.13741433085
1468,173989.28866650024
1469,209333.85983789363
1470,119819.56096490566
1471,201105.2522650056
1472,107671.11464775889
1473,84184.40655218204
1474,149841.4065417091
1475,111969.72263969854
1476,311987.13869420905
1477,248994.9066849416
1478,287390.41119304136
1479,268168.5837417729
1480,380134.96537029627
1481,291740.3032116222
1482,209923.47816899675
1483,175451.48557093297
1484,170662.60276470613
1485,206975.09134355607
1486,210142.56869891053
1487,284413.9592353101
1488,260700.29221739317
1489,182895.3035785267
1490,231164.65802832204
1491,210146.29753278708
1492,87590.43804379145
1493,214118.25965159247
1494,289386.57614416885
1495,281332.9936415809
1496,216454.24078148766
1497,164350.8385247381
1498,152790.21772627276
1499,163189.0675922332
1500,151046.34680858022
1501,186684.49977535778
1502,147184.71769974497
1503,284377.89140193
1504,247080.8603252042
1505,222825.93397397152
1506,197975.66231990978
1507,245471.01850574743
1508,200159.04164121533
1509,154915.3454790921
1510,142291.53214565548
1511,149053.83809819422
1512,187688.22800983256
1513,167072.1416068622
1514,156985.6816434341
1515,211027.2156308347
1516,171525.390490775
1517,163728.11627021432
1518,119052.63588410243
1519,236366.31864486495
1520,123197.6377139308
1521,114298.9491662737
1522,202669.8764264607
1523,78845.80211733503
1524,104051.1658892862
1525,98111.70774888876
1526,83976.83189356001
1527,90247.66217340133
1528,151458.885720209
1529,128751.31628588866
1530,237157.04583954788
1531,140376.1846260021
1532,119100.27875223174
1533,147455.8091410373
1534,125571.38629614585
1535,145067.28737780848
1536,93916.59166602849
1537,39295.296442185994
1538,174067.17425945518
1539,221368.55035562534
1540,112844.07320340304
1541,154226.9878225017
1542,131286.35622615204
1543,187199.1255201504
1544,75200.9404919782
1545,133308.71937676938
1546,140000.50147471228
1547,137893.82068240596
1548,133140.2154075054
1549,126250.52082062652
1550,129443.91381010087
1551,131532.6366328327
1552,131568.88333307952
1553,164258.91232154425
1554,119753.49174904497
1555,156356.8012267768
1556,77087.20400399994
1557,89958.90226362436
1558,94245.99360090855
1559,74363.12667313206
1560,128906.95187133458
1561,126413.92773119081
1562,115799.61167457094
1563,116081.3599433729
1564,153278.36270329286
1565,140372.4959008554
1566,244135.51251107757
1567,69633.97719768097
1568,220317.42650084943
1569,88053.26904576959
1570,141262.07102405187
